type,salary,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,company_logo_url,remote,skill0,level0,skill1,level1,skill2,level2
b2b,25500,Senior Java Developer,Krakowskie Przedmieście,Warszawa,PL,"Krakowskie Przedmieście, Warszawa",java,remote,Silent Eight,https://silenteight.com/,100+,senior,52.2425963,21.0150406,2022-01-06T11:00:26.862Z,true,silent-eight-senior-java-developer-singapore,https://bucket.justjoin.it/offers/company_logos/thumb/883369eac174fe62b8384f6b4fc5a6fa613f8850.jpg?1540192781,true,PostgreSQL,4,Spring Framework,4,Java 11 or 8,4
b2b,18500,"Software Engineer, React Components",Centrum,Łódź,PL,"Centrum, Łódź",javascript,remote,PubNub,http://www.pubnub.com,100 - 150,mid,51.7592485,19.4559833,2022-01-06T11:00:26.862Z,true,pubnub-software-engineer-react-components-lodz,https://bucket.justjoin.it/offers/company_logos/thumb/d639b81a1f091a851a0876f28216ed4f28365d94.png?1637855491,true,English,4,Communication Skills,4,Teamwork,4
b2b,20000,Architect Salesforce,"Al. Jerozolimskie, 123a",Warszawa,PL,"Al. Jerozolimskie, 123a, Warszawa",architecture,remote,Enxoo,http://www.enxoo.com,200+,senior,52.1988464,20.932463,2022-01-06T11:00:26.862Z,true,enxoo-architect-salesforce-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/f45dd77d7325596d1fb8cad644758d1ee1510a4c.png?1639737918,true,CRM,3,CI/CD,3,Salesforce,4
b2b,21000,SAN/Storage Administrator,Katowice,Katowice,PL,"Katowice, Katowice",admin,partly_remote,ManpowerGroup,http://www.experis.pl,4000,mid,50.2648919,19.0237815,2022-01-06T11:00:26.862Z,true,manpowergroup-san-storage-administrator,https://bucket.justjoin.it/offers/company_logos/thumb/0ebf2f31b4c74347d5225c176869772683f8ee26.png?1640170354,false,Cloud,1,NetApp,3,SAN,3
b2b,19000,Backend AWS Developer,Mikołaja Kopernika 95a,Białystok,PL,"Mikołaja Kopernika 95a, Białystok",python,remote,Grape Up,https://grapeup.com/,100+,mid,53.123433,23.124212,2022-01-06T11:00:26.862Z,true,grape-up-backend-aws-developer-bialystok,https://bucket.justjoin.it/offers/company_logos/thumb/aadbcf363bf626b0b1654d430d4275c683119212.png?1638443308,true,AWS,3,Java,3,Python,3
b2b,18000,Senior Data Scientist,Krakowskie Przedmieście 13,Warszawa,PL,"Krakowskie Przedmieście 13, Warszawa",data,remote,SILENT EIGHT,http://Silent Eight,100+,senior,52.2419839,21.015002,2022-01-06T11:00:26.862Z,true,silent-eight-senior-data-scientist,https://bucket.justjoin.it/offers/company_logos/thumb/52c5d6df19222098b25fb1e3c6488e77d6db048d.jpg?1630731727,true,Pandas,5,PySpark,5,Python,5
permanent,7750,Analityk biznesowy,Parczewskiego 27,Katowice,PL,"Parczewskiego 27, Katowice",analytics,partly_remote,KOTRAK S.A.,https://kotrak.com/,>200,mid,50.2648919,19.0237815,2022-01-06T11:00:26.862Z,true,kotrak-s-a-analityk-biznesowy,https://bucket.justjoin.it/offers/company_logos/thumb/1d2834db94b36702fbc44b19c0df5c6b8689bda9.png?1636549393,false,BPMN,1,CRM,3,,
b2b,13500,Embedded Developer,-,Tarnów,PL,"-, Tarnów",c,remote,Grenton Sp. z o.o.,http://www.grenton.pl,40 - 50,mid,50.0121011,20.9858407,2022-01-06T11:00:26.862Z,true,grenton-sp-z-o-o-embedded-developer-500c0314-0d15-4754-add7-3c2192e36e8c,https://bucket.justjoin.it/offers/company_logos/thumb/7769465449f7e321936a9809aa259754a0067460.png?1638357227,true,Python,4,C++,4,C,5
b2b,24864,Solution Architect (Asset Management),Wrocław,Wrocław,PL,"Wrocław, Wrocław",architecture,remote,ManpowerGroup,http://www.experis.pl,4000,senior,51.1078852,17.0385376,2022-01-06T11:00:26.862Z,true,manpowergroup-solution-architect-asset-management,https://bucket.justjoin.it/offers/company_logos/thumb/31a4d62c9d1f569bdf546ad462022552ec63a82b.png?1640601579,true,SCCM,4,ServiceNow,4,Asset management,4
b2b,16275,Mid Java Developer,Baletowa 1,Warszawa,PL,"Baletowa 1, Warszawa",java,remote,Novaris Sp. z o.o.,http://www.novaris.pl/,100,mid,52.1219479,21.013728,2022-01-06T11:00:26.862Z,true,novaris-sp-z-o-o-mid-java-developer,https://bucket.justjoin.it/offers/company_logos/thumb/582796fe9f911619529219090ea3a75fd0edaad0.JPG?1626180781,true,Spring Boot,3,Spring,3,Java,3
